company,ticker,metric,lag_days,pearson_r,pearson_p,n
JPMorgan Chase,JPM,article_sentiment,-5,0.1008,0.3927,74
JPMorgan Chase,JPM,article_sentiment,-4,-0.0645,0.6069,66
JPMorgan Chase,JPM,article_sentiment,-3,0.2099,0.0932,65
JPMorgan Chase,JPM,article_sentiment,-2,-0.0201,0.871,68
JPMorgan Chase,JPM,article_sentiment,-1,-0.1315,0.2014,96
JPMorgan Chase,JPM,article_sentiment,0,0.1547,0.044,170
JPMorgan Chase,JPM,article_sentiment,1,-0.0655,0.5259,96
JPMorgan Chase,JPM,article_sentiment,2,-0.1237,0.3149,68
JPMorgan Chase,JPM,article_sentiment,3,0.2178,0.0813,65
JPMorgan Chase,JPM,article_sentiment,4,0.1305,0.2963,66
JPMorgan Chase,JPM,article_sentiment,5,-0.2505,0.0313,74
JPMorgan Chase,JPM,reader_sentiment,-5,0.1541,0.1899,74
JPMorgan Chase,JPM,reader_sentiment,-4,-0.1045,0.4037,66
JPMorgan Chase,JPM,reader_sentiment,-3,0.1605,0.2014,65
JPMorgan Chase,JPM,reader_sentiment,-2,-0.0335,0.7863,68
JPMorgan Chase,JPM,reader_sentiment,-1,-0.0834,0.4193,96
JPMorgan Chase,JPM,reader_sentiment,0,0.1511,0.0491,170
JPMorgan Chase,JPM,reader_sentiment,1,-0.0813,0.431,96
JPMorgan Chase,JPM,reader_sentiment,2,-0.1963,0.1087,68
JPMorgan Chase,JPM,reader_sentiment,3,0.1537,0.2217,65
JPMorgan Chase,JPM,reader_sentiment,4,0.1158,0.3547,66
JPMorgan Chase,JPM,reader_sentiment,5,-0.246,0.0346,74
